"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"TT_TU_MN009","433","201901102100","0.4","7","1"
"TT_TU_MN009","433","201901102200","0.4","7","1"
"TT_TU_MN009","433","201901102300","0.3","7","1"
"TT_TU_MN009","433","201901110000","0.4","7","1"
"TT_TU_MN009","433","201901110100","0.4","7","1"
"TT_TU_MN009","433","201901110200","0.3","7","1"
"TT_TU_MN009","433","201901110300","0.4","7","1"
"TT_TU_MN009","433","201901110400","0.3","7","1"
"TT_TU_MN009","433","201901110500","0.2","7","1"
"TT_TU_MN009","433","201901110600","0.1","7","1"
"TT_TU_MN009","433","201901110700","0.2","7","1"
"TT_TU_MN009","433","201901110800","0.3","7","1"
"TT_TU_MN009","433","201901110900","0.5","7","1"
"TT_TU_MN009","433","201901111000","0.7","7","1"
"TT_TU_MN009","433","201901111100","1.2","7","1"
"TT_TU_MN009","433","201901111200","1.8","7","1"
"TT_TU_MN009","433","201901111300","2.7","7","1"
"TT_TU_MN009","433","201901111400","3.5","7","1"
"TT_TU_MN009","433","201901111500","4.1","7","1"
"TT_TU_MN009","433","201901111600","4.7","7","1"
"TT_TU_MN009","433","201901111700","5.2","7","1"
"TT_TU_MN009","433","201901111800","5.6","7","1"
"TT_TU_MN009","433","201901111900","5.6","7","1"
"TT_TU_MN009","433","201901112000","5.7","7","1"
"TT_TU_MN009","433","201901112100","5.5","7","1"
"TT_TU_MN009","433","201901112200","5.5","7","1"
"TT_TU_MN009","433","201901112300","5.4","7","1"
"TT_TU_MN009","433","201901120000","5.1","7","1"
"TT_TU_MN009","433","201901120100","4.9","7","1"
"TT_TU_MN009","433","201901120200","4.6","7","1"
"TT_TU_MN009","433","201901120300","4.4","7","1"
"TT_TU_MN009","433","201901120400","4.3","7","1"
"TT_TU_MN009","433","201901120500","4.4","7","1"
"TT_TU_MN009","433","201901120600","4.6","7","1"
"TT_TU_MN009","433","201901120700","4.8","7","1"
"TT_TU_MN009","433","201901120800","4.6","7","1"
"TT_TU_MN009","433","201901120900","4.8","7","1"
"TT_TU_MN009","433","201901121000","5.1","7","1"
"TT_TU_MN009","433","201901121100","5.8","7","1"
"TT_TU_MN009","433","201901121200","6","7","1"
"TT_TU_MN009","433","201901121300","5.9","7","1"
"TT_TU_MN009","433","201901121400","5.9","7","1"
"TT_TU_MN009","433","201901121500","5","7","1"
"TT_TU_MN009","433","201901121600","4.9","7","1"
"TT_TU_MN009","433","201901121700","5","7","1"
"TT_TU_MN009","433","201901121800","5","7","1"
"TT_TU_MN009","433","201901121900","5.5","7","1"
"TT_TU_MN009","433","201901122000","5.8","7","1"
"TT_TU_MN009","433","201901122100","5.9","7","1"
"TT_TU_MN009","433","201901122200","5.7","7","1"
"TT_TU_MN009","433","201901122300","5.8","7","1"
"TT_TU_MN009","433","201901130000","5.8","7","1"
"TT_TU_MN009","433","201901130100","5.7","7","1"
"TT_TU_MN009","433","201901130200","5.5","7","1"
"TT_TU_MN009","433","201901130300","5.5","7","1"
"TT_TU_MN009","433","201901130400","5.4","7","1"
"TT_TU_MN009","433","201901130500","5.5","7","1"
"TT_TU_MN009","433","201901130600","5.5","7","1"
"TT_TU_MN009","433","201901130700","5.7","7","1"
"TT_TU_MN009","433","201901130800","5.9","7","1"
"TT_TU_MN009","433","201901130900","6.2","7","1"
"TT_TU_MN009","433","201901131000","6.2","7","1"
"TT_TU_MN009","433","201901131100","6.2","7","1"
"TT_TU_MN009","433","201901131200","6.2","7","1"
"TT_TU_MN009","433","201901131300","6.3","7","1"
"TT_TU_MN009","433","201901131400","6.9","7","1"
"TT_TU_MN009","433","201901131500","7.6","7","1"
"TT_TU_MN009","433","201901131600","8","7","1"
"TT_TU_MN009","433","201901131700","8.1","7","1"
"TT_TU_MN009","433","201901131800","8.1","7","1"
"TT_TU_MN009","433","201901131900","7.4","7","1"
"TT_TU_MN009","433","201901132000","7","7","1"
"TT_TU_MN009","433","201901132100","6.6","7","1"
"TT_TU_MN009","433","201901132200","6.3","7","1"
"TT_TU_MN009","433","201901132300","6.4","7","1"
"TT_TU_MN009","433","201901140000","6","7","1"
"TT_TU_MN009","433","201901140100","4.6","7","1"
"TT_TU_MN009","433","201901140200","4.6","7","1"
"TT_TU_MN009","433","201901140300","4.6","7","1"
"TT_TU_MN009","433","201901140400","4.2","7","1"
"TT_TU_MN009","433","201901140500","3.1","7","1"
"TT_TU_MN009","433","201901140600","3.1","7","1"
"TT_TU_MN009","433","201901140700","2.7","7","1"
"TT_TU_MN009","433","201901140800","2.4","7","1"
"TT_TU_MN009","433","201901140900","2.3","7","1"
"TT_TU_MN009","433","201901141000","2.9","7","1"
"TT_TU_MN009","433","201901141100","3.4","7","1"
"TT_TU_MN009","433","201901141200","3.1","7","1"
"TT_TU_MN009","433","201901141300","2.8","7","1"
"TT_TU_MN009","433","201901141400","1.4","7","1"
