"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"RS_IND_MN008","433","201901110100","0","3","-999"
"RS_IND_MN008","433","201901110200","0","3","-999"
"RS_IND_MN008","433","201901110300","0","3","-999"
"RS_IND_MN008","433","201901110400","1","3","-999"
"RS_IND_MN008","433","201901110500","1","3","-999"
"RS_IND_MN008","433","201901110600","1","3","-999"
"RS_IND_MN008","433","201901110700","1","3","-999"
"RS_IND_MN008","433","201901110800","1","3","-999"
"RS_IND_MN008","433","201901110900","1","3","-999"
"RS_IND_MN008","433","201901111000","1","3","-999"
"RS_IND_MN008","433","201901111100","1","3","-999"
"RS_IND_MN008","433","201901111200","1","3","-999"
"RS_IND_MN008","433","201901111300","1","3","-999"
"RS_IND_MN008","433","201901111400","1","3","-999"
"RS_IND_MN008","433","201901111500","1","3","-999"
"RS_IND_MN008","433","201901111600","1","3","-999"
"RS_IND_MN008","433","201901111700","1","3","-999"
"RS_IND_MN008","433","201901111800","1","3","-999"
"RS_IND_MN008","433","201901111900","0","3","-999"
"RS_IND_MN008","433","201901112000","0","3","-999"
"RS_IND_MN008","433","201901112100","0","3","-999"
"RS_IND_MN008","433","201901112200","0","3","-999"
"RS_IND_MN008","433","201901112300","0","3","-999"
"RS_IND_MN008","433","201901120000","0","3","-999"
"RS_IND_MN008","433","201901120100","0","3","-999"
"RS_IND_MN008","433","201901120200","0","3","-999"
"RS_IND_MN008","433","201901120300","0","3","-999"
"RS_IND_MN008","433","201901120400","0","3","-999"
"RS_IND_MN008","433","201901120500","0","3","-999"
"RS_IND_MN008","433","201901120600","0","3","-999"
"RS_IND_MN008","433","201901120700","0","3","-999"
"RS_IND_MN008","433","201901120800","1","3","-999"
"RS_IND_MN008","433","201901120900","1","3","-999"
"RS_IND_MN008","433","201901121000","1","3","-999"
"RS_IND_MN008","433","201901121100","1","3","-999"
"RS_IND_MN008","433","201901121200","1","3","-999"
"RS_IND_MN008","433","201901121300","1","3","-999"
"RS_IND_MN008","433","201901121400","1","3","-999"
"RS_IND_MN008","433","201901121500","1","3","-999"
"RS_IND_MN008","433","201901121600","1","3","-999"
"RS_IND_MN008","433","201901121700","1","3","-999"
"RS_IND_MN008","433","201901121800","1","3","-999"
